time,year,GDP,month,spring_festival,population,tem_avg,rhu_avg,wind_avg,sunshine,rainfall,pres_avg,PM10,NOX,PM25,SO2,NO2,O3,CO,count
1,1997,1773.53,1,0,6516.7,16.7,71,26.7,173.6,44.6,1019.3,75,164,51,19,75,30,0.91,454
2,1997,1773.53,2,1,6516.7,16.1,79,30.2,85.5,111.7,1018.3,46,120,29,11,56,31,0.75,384
3,1997,1773.53,3,0,6516.7,20.1,82,21.2,129.3,34.8,1016.9,52,150,35,16,63,28,0.81,584
4,1997,1773.53,4,0,6516.7,22.8,83,21.8,73.6,133.2,1014.1,58,144,39,16,69,37,0.66,586
5,1997,1773.53,5,0,6516.7,26.1,82,21,136.7,300.8,1008.6,44,140,29,16,61,28,0.84,772
6,1997,1773.53,6,0,6516.7,27.3,85,20.8,99.7,783.6,1006.2,37,117,24,21,49,19,0.63,628
7,1997,1773.53,7,0,6516.7,28.1,84,18.9,125.1,746,1006.6,29,106,18,18,38,11,0.53,610
8,1997,1773.53,8,0,6516.7,28.4,83,25.8,141.3,829,1003.4,43,139,28,20,54,19,1.09,736
9,1997,1773.53,9,0,6516.7,26.5,79,22,117.1,232.9,1012.1,49,149,33,23,66,25,0.96,544
10,1997,1773.53,10,0,6516.7,25.9,78,19.4,173.3,112.8,1016,69,136,48,16,73,36,1.09,621
11,1997,1773.53,11,0,6516.7,23.1,71,22.9,202.6,7.1,1017.9,63,171,43,17,76,27,1.02,640
12,1997,1773.53,12,0,6516.7,18.9,75,26.2,100.4,6.5,1020.3,66,180,45,16,73,22,1.18,477
13,1998,1688.86,1,0,6583.4,16.8,81,28.3,86,48.9,1019.2,77,198,52,12,66,21,1.35,499
14,1998,1688.86,2,1,6583.4,17.2,83,23.5,56.4,153.7,1018.1,59,217,40,14,70,17,1.22,535
15,1998,1688.86,3,0,6583.4,19.1,86,25.8,82.2,55.3,1016.3,62,180,42,10,69,29,1.1,591
16,1998,1688.86,4,0,6583.4,24.8,82,17.1,123.4,237.1,1013,64,168,44,15,64,32,0.86,594
17,1998,1688.86,5,0,6583.4,26.8,84,18,139.3,335.2,1009.6,45,142,30,12,55,29,0.78,772
18,1998,1688.86,6,0,6583.4,28.3,84,25.8,90,814.5,1006.9,40,138,26,14,41,17,0.62,641
19,1998,1688.86,7,0,6583.4,29,80,26.1,222.1,267.2,1007.3,34,127,21,16,35,12,0.62,550
20,1998,1688.86,8,0,6583.4,29.5,79,16.4,234.3,245.4,1008.3,37,147,25,19,42,15,0.66,772
21,1998,1688.86,9,0,6583.4,27.8,78,24.4,159.9,230.9,1008.3,61,177,41,14,66,42,0.92,583
22,1998,1688.86,10,0,6583.4,26.1,71,33.6,180.4,133.9,1011.6,66,167,44,12,71,51,0.9,677
23,1998,1688.86,11,0,6583.4,23.2,72,27.8,137.5,28.8,1015.6,78,197,53,14,75,42,1.05,696
24,1998,1688.86,12,0,6583.4,19.1,70,26.5,153.8,13.7,1019.6,76,186,52,16,71,33,1.07,727
25,1999,1657.68,1,0,6637.6,17.3,70,25.3,133.3,4.5,1018.3,89,241,61,25,87,36,1.73,578
26,1999,1657.68,2,1,6637.6,18.7,69.9,24.8,182.6,0,1020.2,80,232,55,21,81,46,0.99,507
27,1999,1657.68,3,0,6637.6,20.4,84,24.8,99.4,23.6,1011.5,55,221,37,21,67,30,0.95,549
28,1999,1657.68,4,0,6637.6,24.3,79,26.9,139.7,176.9,1011.3,62,171,42,19,64,45,0.79,665
29,1999,1657.68,5,0,6637.6,24.9,82,25,109.8,177.8,1009.7,43,182,28,21,65,37,0.88,688
30,1999,1657.68,6,0,6637.6,28.9,79,20.5,191,197.4,1005.5,39,154,26,18,40,22,0.86,680
31,1999,1657.68,7,0,6637.6,29.2,81,21.2,158,203.8,1003,38,159,25,20,41,19,0.92,734
32,1999,1657.68,8,0,6637.6,28.3,82,20.3,138.5,892,1005,42,181,28,24,49,21,0.89,618
33,1999,1657.68,9,0,6637.6,27.8,78,22.5,148.5,365.7,1006.7,51,185,34,24,62,30,0.88,593
34,1999,1657.68,10,0,6637.6,26.2,73,28.5,195.2,38.8,1013.7,64,160,43,16,65,45,1.01,682
35,1999,1657.68,11,0,6637.6,22.2,70,29.2,191.2,15.7,1017.1,70,185,47,16,72,42,1.16,643
36,1999,1657.68,12,0,6637.6,16.8,60,28.2,165.4,32.9,1021.3,78,230,53,21,85,32,1.29,575
37,2000,1716.68,1,0,6730.3,17,74,26.5,130.7,70.3,1019.5,67,219,46,18,76,28,1.28,578
38,2000,1716.68,2,1,6730.3,15.4,80,24.9,99.7,27.6,1017.8,52,203,36,16,65,27,1.05,507
39,2000,1716.68,3,0,6730.3,19.2,79,22.4,137.1,40.9,1015.3,78,219,44,21,80,41,1.06,549
40,2000,1716.68,4,0,6730.3,23.1,85,22,77.3,547.7,1011.1,56,184,32,17,59,35,0.87,665
41,2000,1716.68,5,0,6730.3,26.1,80,21.6,148.5,208.3,1008.6,53,147,29,15,58,41,0.85,688
42,2000,1716.68,6,0,6730.3,28.3,78,22.4,207.1,443.3,1007.1,33,150,19,20,42,24,0.64,680
43,2000,1716.68,7,0,6730.3,28.8,80,23.8,221.9,304,1003.5,39,153,23,21,44,23,0.73,734
44,2000,1716.68,8,0,6730.3,28.5,81,16.8,176.4,600.7,1004.5,39,190,25,25,50,18,0.95,618
45,2000,1716.68,9,0,6730.3,27.7,72.5,23.7,217.2,152.6,1009,58,155,37,15,63,48,0.92,593
46,2000,1716.68,10,0,6730.3,26,77,32.8,165.5,204.1,1011.9,47,143,30,13,51,36,0.82,682
47,2000,1716.68,11,0,6730.3,21,74,28.8,119.6,96.8,1016.6,58,180,38,17,67,34,1.05,643
48,2000,1716.68,12,0,6730.3,18.9,76,25.3,163.9,56,1018.4,65,198,44,19,71,32,1.16,575
49,2001,1694.03,1,1,6730.3,17.3,78,24.9,112.2,47.6,1017.5,62,198,39,16,70,32,1.23,503
50,2001,1694.03,2,0,6730.3,17.6,79,22,127.9,10.9,1016.9,63,224,42,20,73,28,1.32,516
51,2001,1694.03,3,0,6730.3,20.6,77,20.5,140.4,56.5,1014.9,76,195,43,17,73,40,1.03,670
